"SUBJID"	"COUNTRY_SELF"
751	"Swiss French"
987	"Swiss French"
1354	"Swiss French"
2082	"Swiss French"
1443	"Swiss French"
31	"Swiss French"
2242	"Swiss French"
36	"Swiss French"
1257	"Swiss French"
1006	"Swiss French"
1494	"Swiss French"
1818	"Swiss French"
1734	"Swiss French"
1335	"Swiss French"
660	"Swiss French"
1643	"Swiss French"
1901	"Swiss French"
624	"Swiss French"
1802	"Swiss French"
124	"Swiss French"
776	"Swiss French"
1985	"Swiss French"
377	"Swiss French"
1345	"Swiss French"
694	"Swiss French"
907	"Swiss French"
431	"Swiss French"
562	"Swiss French"
1656	"Swiss French"
834	"Swiss French"
617	"Swiss French"
390	"Swiss French"
871	"Swiss French"
1789	"Swiss French"
1496	"Swiss French"
1979	"Swiss French"
292	"Swiss French"
134	"Swiss French"
1260	"Swiss French"
92	"Swiss French"
1480	"Swiss French"
637	"Swiss French"
861	"Swiss French"
1048	"Swiss French"
963	"Swiss French"
1839	"Swiss French"
1155	"Swiss French"
2110	"Swiss French"
2075	"Swiss French"
1287	"Swiss French"
939	"Swiss French"
540	"Swiss French"
2199	"Swiss French"
296	"Swiss French"
646	"Swiss French"
522	"Swiss French"
418	"Swiss French"
1937	"Swiss French"
969	"Swiss French"
340	"Swiss French"
1642	"Swiss French"
1942	"Swiss French"
430	"Swiss French"
1425	"Swiss French"
931	"Swiss French"
1173	"Swiss French"
893	"Swiss French"
1732	"Swiss French"
1089	"Swiss French"
2210	"Swiss French"
548	"Swiss French"
2243	"Swiss French"
1874	"Swiss French"
247	"Swiss French"
1866	"Swiss French"
941	"Swiss French"
1728	"Swiss French"
588	"Swiss French"
1445	"Swiss French"
656	"Swiss French"
1121	"Swiss French"
301	"Swiss French"
512	"Swiss French"
2245	"Swiss French"
102	"Swiss French"
1635	"Swiss French"
1790	"Swiss French"
1382	"Swiss French"
263	"Swiss French"
1388	"Swiss French"
152	"Swiss French"
1186	"Swiss French"
2156	"Swiss French"
1591	"Swiss French"
66	"Swiss French"
2172	"Swiss French"
40	"Swiss French"
578	"Swiss French"
1037	"Swiss French"
1950	"Swiss French"
50	"Swiss French"
44	"Swiss French"
1458	"Swiss French"
847	"Swiss French"
2096	"Swiss French"
1270	"Swiss French"
1837	"Swiss French"
268	"Swiss French"
1473	"Swiss French"
1777	"Swiss French"
1653	"Swiss French"
1598	"Swiss French"
1138	"Swiss French"
1172	"Swiss French"
1997	"Swiss French"
27	"Swiss French"
1511	"Swiss French"
132	"Swiss French"
516	"Swiss French"
999	"Swiss French"
417	"Swiss French"
1761	"Swiss French"
1469	"Swiss French"
319	"Swiss French"
630	"Swiss French"
1717	"Swiss French"
1127	"Swiss French"
378	"Swiss French"
188	"Swiss French"
532	"Swiss French"
1741	"Swiss French"
759	"Swiss French"
82	"Swiss French"
237	"Swiss French"
1822	"Swiss French"
1435	"Swiss French"
1232	"Swiss French"
1023	"Swiss French"
558	"Swiss French"
1705	"Swiss French"
1309	"Swiss French"
